province,altimetry,n_farms,tot_sau_ha,lambda1,lambda2,lambda3,s1,s2,s3,max_yield,risk,share of ladies,wheat acreage distribution,farm acreage distribution,age distribution
Frosinone,Collina,291,2235.4,0.18062,0.3279,1.49873,0.27772,0.1177,0.09447,51.67,16.4,0.43,betaprime|2.1171344207157756|2.143955771279696|-0.0003568278919690961|1.032452307339291,exponweib|20.27856055748661|0.32643073566542213|-0.040063561528382155|0.09799804647006495,exponweib|0.9787552030590718|4.646042575624996|1.2363347418475512|64.32491533317938
Frosinone,Montagna,69,555.5,2.64197,1.59599,3.41232,0.11541,0.07342,0.19924,36.05,9.62,0.23,betaprime|1.6830570434154009|1.9135627054219049|-0.0017824616928801928|1.0435714601507553,invgauss|1.5931376241079387|0.004858672815502641|5.049327118128895,weibull_min|4.494495907613851|-0.1914840040623633|61.72507409848713
Grosseto,Collina,1074,36076.7,0.0343,1.55077,2.29604,0.41604,0.25923,0.25899,47.24,7.86,0.31,lognorm|0.9782495424275804|0.01869342086677498|5.57942750245364,exponweib|9.51480319971979|0.4279980986648698|0.25178865511018994|2.0919711861696393,weibull_min|4.71204037327867|-1.1006468726115721|68.04689310514419
Grosseto,Montagna,45,1640.7,0.02171,2.19669,3.41232,0.47398,0.1774,0.19924,50,7.87,0.29,gamma|2.0149527719733884|0.03161284156169632|4.2004710964688385,lognorm|0.8458026026496991|0.057378811182410755|26.426254305994867,exponweib|1.0780189173142538|4.777408199323626|-1.336081533149943|66.72133629771548
Grosseto,Pianura,351,11909.3,0.27802,0.42043,1.33775,0.39245,0.26295,0.08638,60.06,10.24,0.31,betaprime|4.502389609558202|1.637132098186973|0.2744192502304277|2.0141449684925368,invgauss|2.3112286084208007|0.008486159470645441|14.714666397294478,weibull_min|5.021821453687513|-0.9577347514959473|69.29502411929147
Isernia,Collina,67,702.8,0.05758,2.58237,1.49873,0.72806,0.25002,0.09447,78.2,9.31,0.21,invgauss|2.8802903377359463|-0.0030111513260477323|1.0825246174756091,betaprime|1.3903507241480884|1.567949577815488|0.036210985385277464|5.311394342769056,weibull_min|5.297301283903801|-0.7866644149047837|65.25742475292617
Isernia,Montagna,229,4057,0.0152,1.59599,3.41232,0.48963,0.07342,0.19924,33.4,5.68,0.39,betaprime|1.268116501542146|1.3596167877713243|0.004225012230398173|1.3352818204804082,weibull_min|0.7982116182652184|7.195000311271878e-05|15.786333110505403,exponweib|1.1054060937923382|4.261466741223528|-2.740046686728791|64.99706148548913
L'Aquila,Montagna,329,9972.9,0.09712,0.59179,3.41232,0.56351,0.28506,0.19924,47.84,12.45,0.24,betaprime|1.1773183431518213|1.31787595606011|0.005061277146177578|2.300945049088144,betaprime|1.2457788450489147|1.3692410851702514|0.021260828523254893|11.344423165792186,weibull_min|4.116088184873222|0.3184850678305947|61.42346260760251
Latina,Collina,78,840.4,0.18062,0.3279,1.49873,0.27772,0.1177,0.09447,80.45,10.13,0.27,betaprime|1.7506066250900436|1.4293197627981402|0.005034381758410103|1.0631131506480225,betaprime|1.4381396137518834|1.5982899800374453|0.0452084195094988|4.8466587988262795,weibull_min|4.466232199749247|-0.7586542139214228|68.81282968534931
Latina,Pianura,172,2110,0.13561,1.58318,1.33775,0.70073,0.25602,0.08638,77.3,10.51,0.3,lognorm|1.1051365156862796|0.007644089514954202|2.5711233385245986,betaprime|4.622560413203634|1.1815340243679315|0.003605331296019091|1.017483911338998,weibull_min|4.553636191904669|0.8164648477339871|66.1982286085494
Lecce,Pianura,3859,36106.2,0.02604,0.60573,1.55287,0.52995,0.48258,0.21911,50.24,9.39,0.35,betaprime|2.2589104773285555|1.6806760864508512|0.005876678015083224|1.0063372931956414,invgamma|1.057914389420271|0.025487217111541692|2.2726063763479836,weibull_min|4.482718692476603|3.4463765340284898|64.73924184333828
Livorno,Collina,487,14394.7,0.03546,0.73855,2.29604,0.46189,0.16196,0.25899,68.55,10.07,0.29,exponweib|12.076998161798427|0.3497176232120872|0.019251014995706077|0.24661992902237695,betaprime|10.904074893567078|1.1252334925681549|0.027479994503974203|0.8943652254074373,weibull_min|4.954952940342171|0.27561657771272097|67.68716803132298
Lodi,Pianura,33,2266.9,0.19346,7.60171,1.33775,0.4666,0.09154,0.08638,80.84,9.96,0.18,gamma|1.007531819985684|0.000562892680181087|12.834836682930863,weibull_min|0.9996647602572571|0.012884852565034799|69.06480598300683,weibull_min|4.064101603087798|3.448052896093687|61.31190650589173
Lucca,Montagna,16,116.6,0.02171,2.19669,3.41232,0.47398,0.1774,0.19924,58.93,7.29,0.25,invgauss|2.8285171841796126|0.001428472390046424|0.8646222232666277,invgauss|1.7370186439588604|-0.008694079363024207|4.187808079679225,weibull_min|4.257362738775024|0.3750925907118182|59.16055432466838
Lucca,Pianura,38,1069.1,0.27802,0.42043,1.33775,0.39245,0.26295,0.08638,60.06,11.02,0.26,betaprime|2.1528235706772523|1.1649353524304127|-0.008195524054144074|0.9659253527265036,betaprime|1.049186455324785|1.202851382530366|0.013902651355277061|10.574324683851879,weibull_min|5.397773247183645|0.13495605651500825|67.5248701095237
Macerata,Collina,2776,68118.1,0.12818,1.43597,8.23296,0.31923,0.12976,0.76367,73.57,11.01,0.28,betaprime|4.42553841559722|1.4163730781100587|0.047463948804677095|1.1629616998405365,betaprime|1.5166555111445958|1.7691555583830887|0.09230649121715656|12.648753477346615,exponweib|0.9242243466479079|4.7648296658749905|3.04044268664338|66.80111589150331
Macerata,Montagna,80,4581.9,0.00385,1.42337,3.41232,0.70615,0.17245,0.19924,62.36,8.73,0.22,betaprime|1.495886351124243|1.7622013617046433|0.03457770293055057|5.279805499075099,betaprime|1.2310335909913257|1.3402267846540767|0.07418259412776279|24.475475898013748,weibull_min|4.432327862819539|-1.3321621476096872|65.80753462306892
Mantova,Collina,23,465.9,3.22419,1.4739,1.49873,0.05509,0.14158,0.09447,57.5,9.69,0.26,weibull_min|1.3462030798011897|5.513647714210246e-05|5.341147852961833,weibull_min|0.9928339722665627|0.0004550284059125999|20.28921286901427,weibull_min|6.005398350281478|0.7376772288063188|63.61300364530331
Mantova,Pianura,565,26413.9,0.05332,0.55084,1.33775,0.4498,0.12094,0.08638,79.39,9.96,0.16,exponweib|11.358149341491256|0.3708039020029865|0.019784003396032264|0.3580174240416456,lognorm|1.2107690024150795|0.010770495311360864|23.371517583006884,weibull_min|5.076156520473242|-0.7170323328418704|67.25866467416795
Matera,Collina,3285,95030.7,0.05539,1.572,1.49873,0.44415,0.24563,0.09447,51.84,7.16,0.35,invgauss|2.4448413797558644|-0.38840225093847297|5.333531788081973,betaprime|1.3818257401354888|1.6021642651597792|0.08615858287676945|15.436348015421048,weibull_min|4.267675871797435|1.0108502724238773|63.72386048968888
Matera,Montagna,92,1711.3,0.99529,2.74361,3.41232,0.01092,0.83075,0.19924,22.2,7.19,0.3,lognorm|1.005096348727041|0.01586643680847095|3.8634896687328073,invgauss|2.0652312533557176|-0.015223459993148915|9.027300473000025,weibull_min|4.316800107601244|0.5439765079642456|59.792170903388865
Matera,Pianura,1370,22730.7,0.02642,1.59599,1.33775,0.32547,0.07342,0.08638,41.55,8.16,0.3,exponweib|15.506290020132639|0.32712575847185643|-0.006564527953373041|0.10594318177547263,invweibull|1.0745717734517606|-0.45816259851144936|4.898701707730509,exponweib|1.0583164306028827|4.326025110236366|-0.4768613810620034|64.70272848984025
Messina,Collina,329,1967.6,0.16488,1.31613,0.95701,0.73664,0.22252,0.20699,72.99,9.78,0.35,betaprime|3.1233705576397384|2.254719108150673|-0.002076112448398634|0.9375075354782356,betaprime|3.8862413986763293|1.9028565400216184|0.058087930741370336|1.3334551664464263,weibull_min|4.598673336745655|1.8759954024652814|65.38602593520338
Messina,Montagna,536,10529.6,0.08125,2.10776,3.41232,0.5361,0.14187,0.19924,51.6,8,0.29,betaprime|2.3379676503610574|1.3193345051355228|0.007968598066295827|1.0341035094465847,betaprime|2.5164097599135524|0.9222601819384094|0.14773259130127675|1.4466319788263187,weibull_min|4.060170798753086|-0.031931480605898704|64.74218268997487
Milano,Pianura,132,4340.7,0.19346,7.60171,1.33775,0.4666,0.09154,0.08638,80.84,9.96,0.39,exponweib|1.3020267636103582|0.6879626832221046|7.076789718375339e-05|6.789800609364874,betaprime|1.2212643512237578|1.2153227463670762|0.01606475237934024|11.184613156186568,weibull_min|4.295861152712026|-0.17180099831252854|64.71120893595881
Modena,Collina,25,644.9,0.14835,2.21637,2.65735,0.52542,0.24712,0.12295,75.78,10.99,0.32,invgauss|1.824929740791772|-0.00332659140820992|2.4408210653912823,invgauss|1.9061889685928772|0.14449621149759578|13.391827912784535,gamma|10.743344362163967|-1.2804234688201244|5.265315967394226
Modena,Montagna,20,448.9,0.08125,1.59599,3.41232,0.5361,0.07342,0.19924,78.52,9.12,0.25,exponweib|12.677083812654365|0.40633797099175883|0.00032412453215625343|0.11076054038058479,invgauss|2.7541910576786934|0.007322535953587655|8.064506959034535,gamma|13.310303105032979|0.5477127381394213|4.167816112005703
Modena,Pianura,161,7996.9,0.56197,0.32747,1.05509,0.40164,0.1663,0.10146,71.87,7.64,0.22,lognorm|1.0385348214552146|0.010153612962367671|5.2588289424682735,betaprime|1.2930266530689312|1.378365709961963|0.11035073706821921|21.439324369305076,weibull_min|5.127246531369343|-2.358995964487596|68.89511713333317
